unit,na_item,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
CLV_PCH_PRE_HAB,B1GQ,NO	2.7 	1.5 	0.8 	0.3 	3.4 	2.0 	1.6 	1.9 	-0.8 	-3.2 	-0.4 	-0.2 	1.4 	-0.2 	0.9 	0.8 	0.3 	1.7 	0.2 	0.4 	-1.8 	3.3 	2.3 
CLV_PCH_PRE_HAB,B1GQ,PL	4.6 	1.3 	2.1 	3.6 	5.0 	3.6 	6.2 	7.1 	4.2 	1.9 	2.8 	5.0 	1.5 	0.9 	3.9 	4.5 	3.0 	5.2 	6.0 	4.5 	-1.9 	7.5 	6.1 b
CLV_PCH_PRE_HAB,B1GQ,PT	3.1 	1.2 	0.2 	-1.3 	1.5 	0.6 	1.4 	2.3 	0.2 	-3.2 	1.7 	-1.6 	-3.7 	-0.4 	1.3 	2.2 	2.3 	3.8 	3.0 	2.7 	-8.4 	5.6 p	6.8 p
CLV_PCH_PRE_HAB,B1GQ,RO	: c	: c	: c	2.8 	11.1 b	5.3 	8.7 	8.8 	11.1 	-4.7 	-3.3 	5.0 	2.4 	0.6 	4.5 	3.7 	3.5 	8.8 	6.6 	4.3 	-3.1 	6.6 p	5.2 p
CLV_PCH_PRE_HAB,B1GQ,RS	6.5 	7.1 	6.4 	4.7 	9.3 	5.8 	5.5 	6.9 	6.1 	-2.3 	1.1 	2.8 	-0.2 	3.4 	-1.1 	2.3 	3.9 	2.6 	5.1 	4.9 	-0.2 	8.6 	3.2 p
CLV_PCH_PRE_HAB,B1GQ,SE	4.6 	1.2 	1.9 	1.9 	3.9 	2.4 	4.1 	2.7 	-1.2 	-5.2 	5.1 	2.4 	-1.3 	0.3 	1.6 	3.4 	0.8 	1.2 	0.8 	1.0 	-2.9 	5.5 	2.1 
CLV_PCH_PRE_HAB,B1GQ,SI	3.4 	3.1 	3.3 	2.9 	4.3 	3.6 	5.4 	6.4 	3.4 b	-8.4 	1.0 	0.7 	-2.8 	-1.2 	2.7 	2.1 	3.1 	4.8 	4.1 	2.6 	-4.9 	8.0 	5.3 
CLV_PCH_PRE_HAB,B1GQ,SK	1.1 	3.7 	4.5 	5.5 	5.2 	6.5 	8.4 	10.7 	5.4 	-5.7 	6.5 	3.3 	1.2 	0.5 	2.6 	5.1 	1.8 	2.8 	3.9 	2.4 	-3.5 	5.2 	0.6 
CLV_PCH_PRE_HAB,B1GQ,TR	5.4 	-7.0 	5.1 	4.5 	8.5 	7.7 	5.6 	3.8 	-0.5 	-6.1 	6.8 	9.6 	3.5 	7.1 	3.5 	4.7 	1.9 	6.1 	1.6 	-0.6 	1.0 	10.3 	: 
CLV_PCH_PRE_HAB,B1GQ,UK	3.2 	2.3 	1.7 	2.9 	1.8 	2.2 	2.0 	1.5 	-1.1 	-4.8 	1.3 	0.4 	0.8 	1.5 	2.1 	1.6 	0.9 	1.1 	0.6 	0.8 	: 	: 	: 
